127.0.0.1 - - [13/Jan/2024:15:03:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:03:22 +0530] "GET /springmvc/ HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:03:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:03:33 +0530] "GET /springmvc/contact HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:03:34 +0530] "GET /springmvc/contactus HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:10:46 +0530] "GET /springmvc/ HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:10:49 +0530] "GET /springmvc/contactus HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:11:04 +0530] "POST /springmvc/processform HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:20:08 +0530] "GET /springmvc/contactus HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:20:17 +0530] "POST /springmvc/processform HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:33:02 +0530] "POST /springmvc/processform HTTP/1.1" 500 3868
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:33:04 +0530] "POST /springmvc/processform HTTP/1.1" 500 3868
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:33:15 +0530] "POST /springmvc/processform HTTP/1.1" 500 3868
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:33:25 +0530] "GET /springmvc/contactus HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [13/Jan/2024:15:33:35 +0530] "POST /springmvc/processform HTTP/1.1" 200 330
